1,10,8,8,10,8,10
2,,,,,,
3,8,9,8,,,10
4,8,10,10,8,10,10
5,10,10,,0,10,
6,7,10,8,,10,10
7,8,10,8,8,6,8
8,10,8,10,,10,
9,6,6,8,,6,
10,10,9,8,8,6,10
11,7,8,10,8,10,
12,10,8,8,,8,10
13,10,7,10,10,10,10
14,8,8,,0,8,0
15,10,,8,6,,6
16,10,10,,,8,10
17,6,10,8,,10,
18,10,8,8,,8,9
19,10,10,8,10,10,
20,8,10,10,8,10,
21,8,8,10,,10,10
22,10,10,10,10,10,
23,,,10,,,
24,7,6,,,6,
25,10,10,8,8,8,9
26,6,,,8,,10
27,10,10,8,10,10,8
28,8,5,8,,,10
29,10,10,10,,10,
30,10,10,8,8,10,10
31,10,,,,,
32,,,,,,
33,7,8,,10,10,10
34,10,10,6,,10,
35,10,10,10,10,8,10
36,10,10,10,10,10,10
37,7,6,,8,10,10
38,10,8,10,8,8,9
39,10,6,10,,8,10
40,10,8,10,8,10,10
41,,,,,,
42,8,8,8,10,8,10
43,10,8,8,10,10,8
44,10,8,,8,8,10
45,8,6,10,,,
46,8,10,10,10,8,
47,0,0,8,,0,
48,,3,10,6,8,8
49,,,,,,
50,10,8,,10,10,8
51,,,,,,
52,0,10,10,0,10,0
53,10,10,,8,,10
54,,,,,,
55,,6,,,,
56,10,10,8,8,10,10
57,10,,6,,,
58,7,8,8,,,
59,10,10,10,8,10,10
60,10,10,10,10,10,10
61,10,,,,,
62,10,10,8,10,10,10
63,10,10,10,10,10,10
64,8,10,10,10,10,9
65,10,0,,0,10,
66,,10,10,,10,
67,8,10,,6,10,8
68,8,10,,8,8,8
69,7,10,10,10,10,10
70,8,,,,,
71,10,10,10,10,10,10
72,10,10,,10,10,10
73,8,8,8,10,10,10
74,10,10,8,10,10,10
75,7,10,8,10,10,10
76,10,10,8,,8,10
77,,,,,10,
78,8,8,10,8,8,
79,10,10,10,8,,10
80,10,8,,10,10,10
81,10,8,8,6,10,8
82,10,8,10,,7,
83,,,,,,
84,,,,,,
85,7,6,6,,,
86,10,6,8,8,10,
87,,,,,,
88,8,7,,6,8,8
89,8,10,10,10,10,10
90,10,10,8,,,
91,10,10,10,,8,
92,10,10,10,10,10,10
93,,8,,,10,
94,10,10,,10,8,9
95,10,8,,,10,
96,,,,10,,
97,10,8,,,,
98,10,10,10,,10,10
99,10,10,10,10,10,10
100,7,10,,,10,10
101,10,10,10,10,10,10
102,10,8,10,8,10,10
103,0,10,,0,8,0
104,10,8,8,10,10,
105,10,10,10,10,10,
106,10,8,8,10,8,9
107,,,,,10,10
108,10,10,10,8,6,10
109,8,10,10,10,10,10
110,10,,,,,
111,10,10,10,10,10,9
112,10,10,10,10,10,10
113,10,10,8,,10,10
114,10,10,10,10,10,10
115,,,,,,
116,10,10,8,10,8,10
117,,,,,,
118,10,10,8,10,10,10
119,10,8,8,10,10,8
120,10,10,8,10,10,10
121,7,,10,,,
122,8,10,8,8,6,10
123,,5,,10,,6
124,,,,,,
125,10,10,10,10,10,
126,7,8,10,10,8,
127,10,10,,,10,
128,,,,,,
129,10,10,,10,,10
130,10,6,,10,10,10
131,,8,,6,,10
132,10,8,,,7,8
133,8,10,10,,10,
134,10,10,10,6,8,10
135,10,10,10,10,10,10
136,10,10,10,10,10,10
137,10,10,8,8,8,10
138,10,10,10,10,10,10
139,,10,,,,
140,,,,,,
141,10,8,8,10,10,10
142,8,8,8,10,10,8
143,8,7,8,8,8,10
144,8,10,10,10,10,10
145,10,8,8,8,10,10
146,10,8,,8,8,
147,5,8,,,0,0
148,8,8,,8,8,10
149,8,8,10,10,8,10
150,10,8,10,10,10,10
151,,,,,,
152,10,10,,8,,10
